City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,70.88,67,25,5.03,PF,1627246667
puerto ayora,36.5939,-6.233,75.31,80,0,17.27,ES,1627246763
ushuaia,-54.8,-68.3,37.06,75,40,20.71,AR,1627246679
jamestown,42.097,-79.2353,84.09,54,20,9.22,US,1627246555
georgetown,5.4112,100.3354,82.89,86,20,1.99,MY,1627246413
salta,-24.7859,-65.4117,77.59,37,40,8.01,AR,1627246763
vestmanna,62.1564,-7.1664,49.12,100,90,4.61,FO,1627246764
qostanay,53.1667,63.5833,55.33,85,1,7.76,KZ,1627246764
burnie,-41.0667,145.9167,46.92,88,31,7.36,AU,1627246764
codrington,-38.2667,141.9667,52.0,89,82,15.48,AU,1627246763
pacific grove,38.482,-90.7415,90.88,77,47,7.99,US,1627246765
bredasdorp,-34.5322,20.0403,50.29,93,100,3.44,ZA,1627246684
atuona,-9.8,-139.0333,77.88,72,70,24.67,PF,1627246685
tuatapere,-46.1333,167.6833,45.82,96,100,4.88,NZ,1627246765
busselton,-33.65,115.3333,58.08,65,22,20.89,AU,1627246678
norman wells,35.2226,-97.4395,99.88,51,1,8.05,US,1627246639
ancud,-41.8697,-73.8203,47.73,63,25,8.75,CL,1627246721
ponta do sol,38.7333,-28.2667,68.68,77,96,11.1,PT,1627246766
rio grande,38.3,21.7833,80.6,55,0,6.64,GR,1627246766
teya,60.3778,92.6267,63.01,71,18,2.75,RU,1627246767
sambava,-14.2667,50.1667,65.12,84,68,10.51,MG,1627246767
punta arenas,8.9897,125.34,77.99,84,98,3.8,PH,1627246767
mount isa,53.6597,-1.8537,65.52,75,93,2.98,GB,1627246768
buala,-8.145,159.5921,80.71,82,24,7.0,SB,1627246768
ribeira grande,42.7461,-8.4439,66.51,83,20,4.61,ES,1627246768
vila franca do campo,42.0304,-8.1588,60.75,87,13,3.0,PT,1627246769
bengkulu,-3.8004,102.2655,74.03,85,1,5.39,ID,1627246673
port alfred,-7.0349,29.7638,67.95,55,19,5.37,CD,1627246769
tasiilaq,65.6145,-37.6368,39.67,82,43,5.59,GL,1627246717
gurupa,-1.405,-51.64,84.36,59,99,2.26,BR,1627246769
ayagoz,47.9714,80.4392,74.82,38,94,5.82,KZ,1627246770
pangnirtung,66.1451,-65.7125,46.4,100,90,10.36,CA,1627246686
new norfolk,6.6518,-10.5932,76.23,85,99,3.2,LR,1627246770
bluff,-46.6,168.3333,45.81,86,100,4.54,NZ,1627246672
hithadhoo,-0.6,73.0833,80.69,75,85,4.52,MV,1627246688
castro,-24.7911,-50.0119,58.91,65,2,4.34,BR,1627246681
taga,46.95,24.05,70.48,59,63,3.42,RO,1627246771
paz de ariporo,20.9666,-103.8991,92.37,42,1,1.03,MX,1627246771
valleyview,55.0667,-117.2859,73.74,30,82,7.02,CA,1627246772
noumea,-22.2763,166.4572,70.0,99,61,6.69,NC,1627246772
sturgeon falls,40.3848,-80.2109,89.31,64,40,6.91,US,1627246772
saint-philippe,-21.3585,55.7679,69.35,75,40,11.59,RE,1627246769
tuktoyaktuk,69.4541,-133.0374,48.2,93,90,17.27,CA,1627246765
margate,51.3813,1.3862,65.03,90,50,1.01,GB,1627246773
victoria,22.2855,114.1577,85.32,85,15,1.99,HK,1627246601
hermanus,-34.4187,19.2345,61.9,53,100,10.0,ZA,1627246696
camacari,-12.6975,-38.3242,76.77,88,20,6.71,BR,1627246773
slobozia,46.7281,29.7078,70.68,51,25,2.53,MD,1627246773
khao wong,12.3574,102.4387,76.37,88,100,3.98,TH,1627246774
zhigansk,66.7697,123.3711,60.33,65,38,9.13,RU,1627246774
cape town,-36.413,-71.9028,53.02,87,100,9.17,CL,1627246774
grajau,-5.8194,-46.1386,87.19,32,7,4.52,BR,1627246775
gao,16.6362,1.637,92.5,40,22,9.93,ML,1627246775
sahuaripa,29.05,-109.2333,91.44,41,26,3.11,MX,1627246775
bodaybo,57.8506,114.1933,57.85,77,35,2.01,RU,1627246776
mungaoli,24.4167,78.1,77.74,91,98,12.3,IN,1627246776
thompson,55.7435,-97.8558,62.76,42,20,10.36,CA,1627246698
chokurdakh,70.6333,147.9167,43.54,62,0,9.93,RU,1627246769
hilo,19.7297,-155.09,82.8,83,90,4.61,US,1627246524
cidreira,-30.1811,-50.2056,65.59,71,8,10.47,BR,1627246746
kahului,20.8947,-156.47,80.83,91,46,15.99,US,1627246755
mahebourg,-20.4081,57.7,70.09,64,20,11.5,MU,1627246715
port elizabeth,-7.0349,29.7638,67.95,55,19,5.37,CD,1627246777
provideniya,64.3833,-173.3,46.51,100,90,4.47,RU,1627246777
lata,40.1629,-8.3327,66.92,99,58,3.31,PT,1627246731
les cayes,42.8108,0.7105,67.26,95,96,1.9,ES,1627246778
wanning,18.8003,110.3967,78.91,92,61,7.45,CN,1627246778
evensk,61.95,159.2333,49.1,99,100,7.56,RU,1627246778
mahates,10.2329,-75.1899,84.09,72,100,2.33,CO,1627246779
point fortin,-29.8647,31.0413,59.05,84,0,1.01,ZA,1627246779
kieta,-6.2167,155.6333,79.18,84,42,1.16,PG,1627246779
manaus,-3.1019,-60.025,90.1,58,40,4.61,BR,1627246165
west wendover,31.8024,-97.0917,100.24,41,1,6.91,US,1627246780
souillac,-20.5167,57.5167,70.18,64,20,11.5,MU,1627246780
upernavik,72.7868,-56.1549,41.59,80,11,12.95,GL,1627246769
beringovskiy,63.05,179.3167,51.76,90,100,2.35,RU,1627246737
mataura,-46.1927,168.8643,45.48,91,100,2.66,NZ,1627246669
pisco,-13.7,-76.2167,66.25,72,0,9.22,PE,1627246397
vaini,-21.2,-175.2,75.56,83,80,4.36,TO,1627246692
kodiak,57.79,-152.4072,53.11,94,20,3.44,US,1627246473
albany,42.6001,-73.9662,84.85,74,46,3.06,US,1627246670
saldanha,-33.0117,17.9442,53.65,48,100,12.17,ZA,1627246761
ishigaki,24.3448,124.1572,84.02,89,97,18.66,JP,1627246727
labuhan,-6.8844,112.2051,71.69,87,32,7.87,ID,1627246737
zimovniki,47.1483,42.4633,74.21,38,17,8.12,RU,1627246781
faanui,-16.4833,-151.75,78.06,65,0,10.96,PF,1627246676
adilabad,19.6667,78.5333,76.71,85,8,9.95,IN,1627246782
santa rosalia,17.486,120.4348,79.16,92,100,12.28,PH,1627246782
nampula,-15.1165,39.2666,62.55,82,75,14.97,MZ,1627246507
klaksvik,62.2266,-6.589,50.92,95,100,8.08,FO,1627246699
hofn,64.2539,-15.2082,52.21,95,100,20.42,IS,1627246783
tumut,-35.3,148.2167,47.39,99,100,4.03,AU,1627246783
turukhansk,65.8167,87.9833,62.83,75,29,5.01,RU,1627246783
makakilo city,21.3524,-158.0865,81.72,76,72,17.4,US,1627246784
shumyachi,53.8583,32.4242,62.53,77,21,5.37,RU,1627246784
ruteng,-8.6136,120.4721,56.25,52,22,1.32,ID,1627246784
longyearbyen,78.2186,15.6401,44.44,87,75,10.36,SJ,1627246775
airai,-8.9266,125.4092,55.42,54,70,3.33,TL,1627246736
yaan,7.3833,8.5667,71.92,91,89,4.92,NG,1627246785
jhansi,25.4333,78.5833,81.09,87,92,6.82,IN,1627246785
lebu,-37.6167,-73.65,50.85,90,54,15.28,CL,1627246673
saskylakh,71.9167,114.0833,55.63,67,90,11.72,RU,1627246682
jatiroto,-7.8833,111.1167,67.46,81,8,1.97,ID,1627246786
marand,38.4329,45.7749,79.14,64,0,7.54,IR,1627246786
whitianga,-36.8333,175.7,56.01,95,100,20.56,NZ,1627246786
mangan,27.5167,88.5333,77.31,94,100,0.74,IN,1627246776
grand river south east,38.8755,-109.5012,93.6,24,12,6.58,US,1627246787
maragheh,37.3917,46.2398,79.95,46,10,17.07,IR,1627246787
katsuura,35.1333,140.3,81.1,82,49,13.24,JP,1627246787
ekhabi,53.5102,142.9671,70.48,81,100,10.63,RU,1627246788
cherskiy,68.75,161.3,48.42,59,15,6.98,RU,1627246788
kaitangata,-46.2817,169.8464,49.93,73,100,3.56,NZ,1627246788
kapaa,22.0752,-159.319,82.38,81,37,1.99,US,1627246664
kirkenaer,60.4564,12.0582,72.25,62,9,2.84,NO,1627246789
sioux lookout,42.7333,-96.2336,90.97,48,1,6.91,US,1627246789
barrow,71.2906,-156.7887,37.78,93,100,13.65,US,1627246435
kjollefjord,70.9457,27.3465,44.42,93,40,12.66,NO,1627246789
macheng,31.1783,115.0319,75.24,88,18,5.64,CN,1627246790
lima duarte,-12.0432,-77.0282,64.65,68,90,6.91,PE,1627246542
san patricio,13.3034,-4.8956,82.71,63,39,11.05,ML,1627246790
arraial do cabo,-22.8362,-46.646,77.52,34,0,3.83,BR,1627246791
dikson,73.5069,80.5464,40.06,83,100,12.95,RU,1627246791
mackenzie,55.2999,-123.1698,61.02,72,90,16.11,CA,1627246791
gualaquiza,-3.4,-78.55,74.39,62,86,2.91,EC,1627246756
mayo,38.8876,-76.5119,91.72,72,70,4.0,US,1627246792
pemba,-12.974,40.5178,71.56,65,47,20.27,MZ,1627246507
camacha,33.0833,-16.3333,74.53,88,75,12.66,PT,1627246792
smolenka,52.1352,113.4974,59.07,82,97,4.47,RU,1627246792
sabzevar,36.2126,57.6819,87.21,15,0,25.68,IR,1627246793
barabai,-2.5833,115.3833,69.55,90,0,2.04,ID,1627246793
maragogi,-9.0122,-35.2225,73.85,88,19,12.06,BR,1627246533
namtsy,62.7161,129.6658,60.91,63,4,4.83,RU,1627246793
nome,64.5011,-165.4064,50.16,93,100,11.65,US,1627246733
avarua,-21.2078,-159.775,78.85,78,75,8.05,CK,1627246691
hobart,-42.8794,147.3294,45.23,70,20,1.99,AU,1627246723
sao filipe,20.5113,76.2129,72.41,85,38,14.43,IN,1627246794
torbay,47.6666,-52.7314,62.28,87,75,10.36,CA,1627246669
pevek,69.7008,170.3133,34.93,91,100,8.39,RU,1627246689
teguldet,57.3064,88.1667,62.49,76,100,3.24,RU,1627246795
luganville,-15.5333,167.1667,78.3,87,78,1.1,VU,1627246739
xai-xai,-25.0519,33.6442,61.0,73,23,6.26,MZ,1627246507
rio gallegos,38.3,21.7833,80.6,55,0,6.64,GR,1627246567
berlevag,70.8578,29.0864,44.6,87,75,20.71,NO,1627246729
rawson,-43.3002,-65.1023,49.6,41,37,15.59,AR,1627246795
sola,-13.8833,167.55,80.04,79,48,10.16,VU,1627246721
kindu,-2.95,25.95,79.23,35,35,5.14,CD,1627246796
long,18.0761,99.8326,71.94,99,100,2.89,TH,1627246796
port hawkesbury,-7.0349,29.7638,67.95,55,19,5.37,CD,1627246796
kruisfontein,-34.0033,24.7314,54.82,35,57,7.18,ZA,1627246797
faya,18.3851,42.4509,66.31,77,100,5.03,SA,1627246797
lagoa,39.05,-27.9833,70.03,79,94,11.92,PT,1627246686
palauig,15.435,119.9045,81.48,87,100,13.69,PH,1627246797
san rafael,13.3034,-4.8956,82.71,63,39,11.05,ML,1627246546
brazzaville,-4.2658,15.2832,75.51,73,13,4.61,CG,1627246798
severo-kurilsk,50.6789,156.125,56.05,94,85,3.51,RU,1627246785
kabanjahe,3.1001,98.4908,66.96,93,77,1.5,ID,1627246798
mount gambier,53.6597,-1.8537,65.52,75,93,2.98,GB,1627246798
ust-maya,60.4167,134.5333,61.3,76,6,3.62,RU,1627246799
vestmannaeyjar,63.4427,-20.2734,50.99,93,75,14.97,IS,1627246799
kattivakkam,13.2167,80.3167,80.69,62,78,13.65,IN,1627246799
berestechko,50.3605,25.1107,69.01,76,56,7.65,UA,1627246800
grand gaube,38.8755,-109.5012,93.6,24,12,6.58,US,1627246800
fortuna,40.5982,-124.1573,97.48,82,1,16.11,US,1627246682
talnakh,69.4865,88.3972,55.96,94,100,5.32,RU,1627246702
sabang,5.8933,95.3214,82.62,79,99,10.94,ID,1627246801
nabire,-3.3667,135.4833,75.76,86,100,3.11,ID,1627246801
ravar,31.2656,56.8055,83.05,12,0,1.77,IR,1627246802
bonthe,7.5264,-12.505,77.16,80,100,7.07,SL,1627246711
isangel,-19.55,169.2667,75.02,86,100,13.51,VU,1627246804
east london,65.0,-15.0,53.91,74,100,16.46,IS,1627246804
qena,26.1615,32.7183,87.48,23,0,9.71,EG,1627246805
togur,58.3631,82.8265,64.24,84,10,5.59,RU,1627246805
mar del plata,43.4002,-4.0094,68.14,88,75,3.0,ES,1627246806
qaanaaq,77.484,-69.3632,40.28,72,76,4.21,GL,1627246679
miri,4.4148,114.0089,78.96,88,100,1.86,MY,1627246806
hambantota,6.1241,81.1185,79.88,78,99,17.25,LK,1627246806
olafsvik,64.8945,-23.7142,49.55,92,81,26.96,IS,1627246675
salalah,17.0151,54.0924,77.61,84,78,12.1,OM,1627246729
port-cartier,50.0334,-66.8654,65.93,85,100,2.57,CA,1627246807
kalinin,47.2468,39.5109,79.57,37,4,8.77,RU,1627246807
nikolskoye,59.7035,30.7861,67.89,73,26,2.51,RU,1627246702
marsh harbour,53.6512,-1.8078,66.61,75,93,3.04,GB,1627246808
otavi,-19.65,17.3333,56.73,43,0,11.21,NA,1627246808
siguiri,11.6667,-9.5,75.22,88,94,2.37,GN,1627246808
marawi,7.9986,124.2928,69.66,90,96,5.19,PH,1627246809
yellowknife,62.456,-114.3525,63.32,51,20,3.0,CA,1627246378
ahipara,-35.1667,173.1667,58.6,90,13,11.48,NZ,1627246809
bat khela,51.3779,-2.3591,68.68,82,99,5.97,GB,1627246547
brownsville,25.9018,-97.4975,93.88,61,4,5.01,US,1627246715
sanchor,24.7553,71.7722,84.02,78,100,14.07,IN,1627246810
coahuayana,18.7333,-103.6833,88.57,64,68,6.42,MX,1627246810
ostrovnoy,68.0531,39.5131,45.54,90,100,16.53,RU,1627246799
ambulu,-8.345,113.6058,67.06,88,6,3.67,ID,1627246810
viedma,-40.8135,-62.9967,49.89,41,36,11.43,AR,1627246811
warrenton,-28.114,24.8475,41.13,33,8,9.4,ZA,1627246811
ilulissat,69.2167,-51.1,44.82,55,100,8.5,GL,1627246783
otane,-39.8833,176.6333,54.01,86,100,14.14,NZ,1627246812
phan rang,19.5539,99.7405,74.8,97,100,1.7,TH,1627246812
ocampo,21.65,-101.5,74.28,31,3,9.86,MX,1627246813
okha,53.5739,142.9478,68.38,83,100,9.84,RU,1627246813
mastic beach,40.802,-72.8409,82.62,84,93,1.99,US,1627246814
kamenka,51.3223,42.7678,61.57,55,20,5.41,RU,1627246731
namatanai,-3.6667,152.4333,79.07,83,95,1.7,PG,1627246815
aguimes,27.9054,-15.4461,70.43,64,20,25.32,ES,1627246815
mackay,-21.15,149.2,53.04,52,8,9.62,AU,1627246816
sterling,39.0062,-77.4286,91.63,63,75,8.99,US,1627246816
vitoria da conquista,-20.3194,-40.3378,69.42,68,2,8.68,BR,1627246817
clyde river,41.3042,-82.9752,88.39,66,39,7.63,US,1627246818
khatanga,71.9667,102.5,50.18,82,43,5.97,RU,1627246709
quelimane,-17.8786,36.8883,62.56,83,40,5.48,MZ,1627246818
port augusta,-7.0349,29.7638,67.95,55,19,5.37,CD,1627246819
port hardy,-7.0349,29.7638,67.95,55,19,5.37,CD,1627246796
verkhnevilyuysk,63.4453,120.3167,64.04,74,9,5.14,RU,1627246819
peniche,39.3558,-9.3811,71.08,91,15,9.44,PT,1627246820
guerrero,17.6667,-100.0,80.01,64,67,3.18,MX,1627246677
george,-33.963,22.4617,51.35,58,0,3.44,ZA,1627246820
aklavik,68.2191,-135.0107,54.43,68,100,16.24,CA,1627246778
gondar,12.6,37.4667,57.11,94,100,1.95,ET,1627246821
lekoni,-1.5843,14.2591,83.7,40,97,8.14,GA,1627246822
flinders,-34.5833,150.8552,55.26,68,0,4.0,AU,1627246742
